Name,Height,Weight,Games,Carries,Rushing Yards,Yards per Carry,Rushing TD,Rushing Yards per Game,Receptions,Receiving Yards,Yards per Reception,Receiving TD,Receiving Yards per Game,Total Yards,Total Yards per Play,Total TD,Years,Tier
Cam Akers,5'10,217 lbs,36,586,2874,4.9,27,79.8,69,486,7,7,13.5,3360,5.1,34,3,3
Ty Johnson,5'10,210 lbs,46,348,2635,7.6,17,57.3,29,318,11,2,6.9,2953,7.8,19,4,4
Braelon Allen,6'1,235 lbs,35,597,3494,5.9,35,99.8,49,275,5.6,0,7.9,3769,5.8,35,3,4
Zack Moss,5'10,220 lbs,45,712,4067,5.7,38,90.4,66,685,10.4,3,15.2,4752,6.1,41,4,3
Samaje Perine,5'11,240 lbs,36,685,4122,6,49,114.5,40,321,8,2,8.9,4443,6.1,51,3,3
Roschon Johnson,6'0,225 lbs,47,392,2190,5.6,23,46.6,56,420,7.5,3,8.9,2610,5.8,26,4,4
Miles Sanders,5'11,211 lbs,38,276,1649,6,12,43.4,32,193,6,1,5.1,1842,6,13,3,2
Raheem Mostert,5'10,195 lbs,44,136,759,5.6,6,17.3,19,122,6.4,0,2.8,881,5.7,6,4,1
Sean Tucker,5'10,205 lbs,33,589,3182,5.4,27,96.4,64,616,9.6,4,18.7,3798,5.8,31,3,4
Gus Edwards,6'1,238 lbs,44,350,1690,4.8,18,38.4,16,156,9.8,1,3.5,1846,5,19,4,3
Jeremy McNichols,5'9,214 lbs,34,571,3205,5.6,44,94.3,103,1089,10.6,11,32,4294,6.4,55,3,4
Nick Chubb,5'11,227 lbs,47,758,4769,6.3,44,101.5,31,361,11.6,4,7.7,5130,6.5,48,4,1
Kenneth Gainwell,5'9,200 lbs,18,235,1550,6.6,14,86.1,57,662,11.6,3,36.8,2212,7.6,17,2,4
Ezekiel Elliott,6'0,225 lbs,35,592,3961,6.7,43,113.2,58,449,7.7,1,12.8,4410,6.8,44,3,1
Isiah Pacheco,5'10,216 lbs,44,563,2442,4.3,18,55.5,47,249,5.3,1,5.7,2691,4.4,19,4,2
Emari Demercado,5'9,215 lbs,51,338,1615,4.8,10,31.7,40,277,6.9,1,5.4,1892,5,11,5,4
Trey Sermon,6'0,215 lbs,45,455,2946,6.5,26,65.5,48,486,10.1,3,10.8,3432,6.8,29,4,4
Audric Estime,5'11,227 lbs,37,373,2321,6.2,29,62.7,26,277,10.7,1,7.5,2598,6.5,30,3,4
Christian McCaffrey,5'11,210 lbs,38,632,3922,6.2,21,103.2,99,1206,12.2,10,31.7,5128,7,31,3,1
Trey Benson,6'1,223 lbs,36,316,1918,6.1,24,53.3,33,371,11.2,1,10.3,2289,6.6,25,3,4
Tyler Goodson,5'9,197 lbs,34,533,2551,4.8,18,75,70,565,8.1,1,16.6,3116,5.2,19,3,4
Dameon Pierce,5'10,215 lbs,50,329,1806,5.5,23,36.1,45,422,9.4,5,8.4,2228,6,28,4,3
Chris Brooks,6'1,223 lbs,52,512,2551,5,20,49.1,60,443,7.4,7,8.5,2994,5.2,27,2,4
Jamaal Williams,6'0,224 lbs,43,726,3901,5.4,35,90.7,60,567,9.5,1,13.2,4468,5.7,36,4,2
D'Ernest Johnson,5'10,208 lbs,50,421,1796,4.3,16,35.9,73,909,12.5,12,18.2,2705,5.5,28,4,4
Michael Carter,5'8,201 lbs,44,514,3403,6.6,22,77.3,82,656,8,6,14.9,4059,6.8,28,4,3
Blake Corum,5'8,210 lbs,45,674,3737,5.5,58,83,56,411,7.3,3,9.1,4148,5.7,61,4,4
Hassan Haskins,6'2,228 lbs,36,452,2324,5.1,30,64.6,24,171,7.1,0,4.8,2495,5.2,30,4,4
Kimani Vidal,5'8,215 lbs,48,781,4010,5.1,33,83.5,92,700,7.6,1,14.6,4710,5.4,34,4,4
D'Onta Foreman,6'0,235 lbs,28,433,2782,6.4,20,99.4,13,146,11.2,0,5.2,2928,6.6,20,3,4
Chris Rodriguez Jr.,5'11,224 lbs,45,592,3644,6.2,32,81,20,116,5.8,3,2.6,3760,6.1,35,5,4
Khalil Herbert,5'9,212 lbs,46,474,2917,6.2,22,63.4,33,293,8.9,1,6.4,3210,6.3,23,5,4
Zamir White,6'0,215 lbs,38,382,2043,5.3,25,53.8,17,132,7.8,0,3.5,2175,5.5,25,3,4
Kendre Miller,6'0,220 lbs,33,361,2410,6.7,26,73,29,229,7.9,1,6.9,2639,6.8,27,3,4
JaMycal Hasty,5'8,205 lbs,45,386,1998,5.2,15,44.4,79,485,6.1,1,10.8,2483,5.3,16,4,4
Ty Chandler,5'11,210 lbs,59,603,3138,5.2,26,53.2,73,681,9.3,4,11.5,3819,5.6,30,5,4
Sincere McCormick,5'9,205 lbs,37,724,3929,5.4,34,106.2,66,509,7.7,1,13.8,4438,5.6,35,3,4
Jaylen Wright,5'10,210 lbs,34,368,2297,6.2,18,67.6,30,171,5.7,0,5,2468,6.2,18,3,4
Jordan Mims,6'0,205 lbs,59,680,3290,4.8,37,55.8,91,971,10.7,8,16.5,4261,5.5,45,5,4
Carson Steele,6'0,228 lbs,37,648,3294,5.1,26,89,58,486,8.4,4,13.1,3780,5.4,30,3,4
Kenny McIntosh,6'0,204 lbs,48,280,1582,5.7,16,33,76,861,11.3,4,17.9,2443,6.9,20,4,4
DeeJay Dallas,5'10,214 lbs,35,265,1527,5.8,17,43.6,28,317,11.3,2,9.1,1844,6.3,19,3,4
Ronnie Rivers,5'9,192 lbs,53,671,3417,5.1,40,64.5,150,1417,9.4,11,26.7,4834,5.9,51,5,4
Eric Gray,5'10,211 lbs,47,549,3089,5.6,21,65.7,99,827,8.4,5,17.6,3916,6,26,4,4
Will Shipley,5'11,209 lbs,36,526,2747,5.2,31,76.3,85,602,7.1,2,16.7,3349,5.5,33,3,4
Deuce Vaughn,5'6,176 lbs,37,651,3604,5.5,34,97.4,116,1280,11,9,34.6,4884,6.4,43,3,4
Tony Jones Jr.,5'11,224 lbs,47,308,1269,4.1,9,27,90,558,6.2,3,11.9,1827,4.6,12,4,4
Jeff Wilson Jr.,6'0,205 lbs,42,562,3205,5.7,32,76.3,70,527,7.5,2,12.5,3732,5.9,34,4,3
Clyde Edwards-Helaire,5'8,209 lbs,41,370,2103,5.7,23,51.3,69,595,8.6,1,14.5,2698,6.1,24,3,2
Tyler Badie,5'8,197 lbs,46,513,2740,5.3,23,59.6,126,1149,9.1,11,25,3889,6.1,34,4,4
Raheem Blackshear,5'9,190 lbs,51,412,1932,4.7,14,37.9,123,1213,9.9,7,23.8,3145,5.9,21,5,4
Jonathon Brooks,6'0,207 lbs,23,238,1479,6.2,16,64.3,28,335,12,2,14.6,1814,6.8,18,3,4
Keaton Mitchell,5'8,191 lbs,33,463,3027,6.5,25,91.7,60,580,9.7,3,17.6,3607,6.9,28,3,4
J.J. Taylor,5'6,185 lbs,40,587,3263,5.6,18,81.6,62,487,7.9,2,12.2,3750,5.8,20,4,4
Travis Homer,5'10,202 lbs,38,334,1995,6,12,52.5,37,405,10.9,1,10.7,2400,6.5,13,3,4
Kene Nwangwu,6'1,213 lbs,50,143,744,5.2,4,14.9,7,57,8.1,0,1.1,801,5.3,4,4,4
Mike Boone,5'10,206 lbs,39,420,2250,5.4,24,57.7,65,596,9.2,1,15.3,2846,5.9,25,4,4
Jacob Kibodi,6'1,225 lbs,36,211,1168,5.5,9,32.4,19,132,6.9,1,3.7,1300,5.7,10,6,4
Jermar Jefferson,5'10,215 lbs,27,514,2923,5.7,27,108.3,43,299,7,2,11.1,3222,5.8,29,3,4
Dalvin Cook,5'10,210 lbs,38,687,4464,6.5,46,117.5,79,935,11.8,2,24.6,5399,7,48,3,1
Blake Watson,5'9,195 lbs,49,590,3298,5.6,28,67.3,113,928,8.2,6,18.9,4226,6,34,5,4
Jase McClellan,5'11,215 lbs,42,355,1981,5.6,18,47.2,40,409,10.2,6,9.7,2390,6.1,24,4,4
Rasheen Ali,5'11,212 lbs,34,514,2831,5.5,39,83.3,76,565,7.4,3,16.6,3396,5.8,42,4,4
MarShawn Lloyd,5'9,220 lbs,32,291,1621,5.6,19,50.7,34,452,13.3,2,14.1,2073,6.4,21,3,4
Jonathan Ward,6'0,202 lbs,42,474,2537,5.4,28,60.4,98,909,9.3,4,21.6,3446,6,32,4,4
Myles Gaskin,5'9,199 lbs,52,945,5323,5.6,57,102.4,65,465,7.2,5,8.9,5788,5.7,62,4,2
George Holani,5'11,210 lbs,48,685,3596,5.2,26,74.9,88,777,8.8,8,16.2,4373,5.7,34,5,4
Cody Schrader,5'9,214 lbs,26,446,2372,5.3,23,91.2,41,328,8,0,12.6,2700,5.5,23,2,4
Tyrion Davis-Price,6'1,219 lbs,35,379,1744,4.6,15,49.8,28,185,6.6,0,5.3,1929,4.7,15,3,4
Ke'Shawn Vaughn,5'10,214 lbs,46,572,3296,5.8,30,71.7,67,664,9.9,3,14.4,3960,6.2,33,4,4
Darrynton Evans,5'10,203 lbs,39,482,2884,6,25,73.9,39,319,8.2,6,8.2,3203,6.1,31,3,4
British Brooks,5'11,225 lbs,52,140,848,6.1,7,16.3,14,73,5.2,0,1.4,921,6,7,5,4
Joshua Kelley,5'11,212 lbs,22,454,2303,5.1,24,104.7,38,264,6.9,1,12,2567,5.2,25,2,4
La'Mical Perine,5'11,216 lbs,50,493,2485,5,22,49.7,72,674,9.4,8,13.5,3159,5.6,30,4,4
Keilan Robinson,5'8,191 lbs,45,121,796,6.6,8,17.7,35,332,9.5,3,7.4,1128,7.2,11,4,4
Nyheim Hines,5'9,196 lbs,38,258,1399,5.4,13,36.8,89,933,10.5,1,24.6,2332,6.7,14,3,2
Trayveon Williams,5'8,210 lbs,38,600,3615,6,34,95.1,66,561,8.5,1,14.8,4176,6.3,35,3,4
D.J. Williams,6'0,225 lbs,23,18,142,7.9,2,6.2,12,143,11.9,1,6.2,285,9.5,3,2,4
Jabari Small,5'9,198 lbs,45,419,2122,5.1,24,47.2,32,247,7.7,2,5.5,2369,5.3,26,4,4
Evan Hull,5'10,209 lbs,38,488,2417,5,18,63.6,94,851,9.1,4,22.4,3268,5.6,22,4,4
Dante Miller,5'9,200 lbs,6,6,38,6.3,0,6.3,0,0,0,0,6,6.3,0,0,1,4
Gary Brightwell,6'1,218 lbs,40,245,1305,5.3,9,32.6,19,121,6.4,1,3,1426,5.4,10,4,4
Keaontay Ingram,6'0,220 lbs,42,495,2722,5.5,16,64.8,89,671,7.5,6,16,3393,5.8,22,4,4
Kendall Milton,6'1,230 lbs,41,297,1839,6.2,23,44.9,12,116,9.7,1,2.8,1955,6.3,24,4,4
John Kelly Jr.,5'10,205 lbs,33,327,1573,4.8,15,47.7,43,350,8.1,0,10.6,1923,5.2,15,2,4
